interimPersona,likeTo,finalPersona,description,quotes,skills,books
Social,I like to create things that improve lives,Product Designer,You are a sharp problem solver. You have critical thinking abilities and carefully draft solutions to solve problems. You carefully consider different tenets of an issue before implementing logical solutions. ,"""For me, to live is about impacting people s lives."" -- Elim Chew, Stick to your true north_ build greatness for the long term. _Ruth Porat",,
Social,I like to make information accessible,Social Media Influencer,You are a sharp problem solver. You have critical thinking abilities and carefully draft solutions to solve problems. You carefully consider different tenets of an issue before implementing logical solutions. ,"""The goal is to turn data into information, and information into insight."" -- Carly Florina, Your value will be not what you know; it will be what you share. _ Ginni Rometty",,
Creative,I like to set goals and directions,Manager,"You have a heart for others. You are empathetic and care about those around you. You like to identify what problems that those around you might face and find ways to bring solutions to them, maximizing gain and minimizing pain.","""Be sure you put your feet in the right place. Then stand firm."" -- Abraham Lincoln, Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way.  -- Jack Ma",,
Creative,I like to generate solutions to problems,Designer,"You have a heart for others. You are empathetic and care about those around you. You like to identify what problems that those around you might face and find ways to bring solutions to them, maximizing gain and minimizing pain.","""In the middle of every difficulty lies opportunity"" -- Albert Einstein, Let us remember: one book, one pen, one child, and one teacher can change the world.   Malala Yousafzai",,
Creative,I Like to think about how to deliver solutions to more people,Marketing Executive,"You have a heart for others. You are empathetic and care about those around you. You like to identify what problems that those around you might face and find ways to bring solutions to them, maximizing gain and minimizing pain.","""If we are going to be part of the solution, we have to engage the problems.""   Majora Carter,""Do not limit yourself to thinking in the present. Think above and beyond. Do not be bound by this age; aim to create a new age that will delight people throughout the world."" -- Masayoshi Son",,
Creative,I like to think about risks and opportunities of possible solutions,Market analyst,"You have a heart for others. You are empathetic and care about those around you. You like to identify what problems that those around you might face and find ways to bring solutions to them, maximizing gain and minimizing pain.","""I learned to make my mind large, as the universe is large, so that there is room for paradoxes"" 
--Maxine Hong Kingston, Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning.  -- Gloria Steinem",,
Creative,I like to create things that improve lives,Artist,"You have a heart for others. You are empathetic and care about those around you. You like to identify what problems that those around you might face and find ways to bring solutions to them, maximizing gain and minimizing pain.","""For me, to live is about impacting people s lives."" -- Elim Chew, Stick to your true north_ build greatness for the long term. _Ruth Porat",,
Creative,I like to make information accessible,Graphic designer,"You have a heart for others. You are empathetic and care about those around you. You like to identify what problems that those around you might face and find ways to bring solutions to them, maximizing gain and minimizing pain.","""The goal is to turn data into information, and information into insight."" -- Carly Florina, Your value will be not what you know; it will be what you share. _ Ginni Rometty",,
Creative,I like to set goals and directions,Screenwriter,"You are a highly pragmatic and logical thinker who is able to view things from multiple perspectives. You like to be balanced about things and where there are solutions to problems or answers to questions, you consider both sides before making a reasoned judgement","""Be sure you put your feet in the right place. Then stand firm."" -- Abraham Lincoln, Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way.  -- Jack Ma",,
Tech,I like to generate solutions to problems,App Devloper,"You are a highly pragmatic and logical thinker who is able to view things from multiple perspectives. You like to be balanced about things and where there are solutions to problems or answers to questions, you consider both sides before making a reasoned judgement","""In the middle of every difficulty lies opportunity"" -- Albert Einstein, Let us remember: one book, one pen, one child, and one teacher can change the world.   Malala Yousafzai",,
Tech,I Like to think about how to deliver solutions to more people,AI Engineer,"You are a highly pragmatic and logical thinker who is able to view things from multiple perspectives. You like to be balanced about things and where there are solutions to problems or answers to questions, you consider both sides before making a reasoned judgement","""If we are going to be part of the solution, we have to engage the problems.""   Majora Carter,""Do not limit yourself to thinking in the present. Think above and beyond. Do not be bound by this age; aim to create a new age that will delight people throughout the world."" -- Masayoshi Son",,
Tech,I like to think about risks and opportunities of possible solutions,Risk Analyst,"You are a highly pragmatic and logical thinker who is able to view things from multiple perspectives. You like to be balanced about things and where there are solutions to problems or answers to questions, you consider both sides before making a reasoned judgement","""I learned to make my mind large, as the universe is large, so that there is room for paradoxes"" 
--Maxine Hong Kingston, Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning.  -- Gloria Steinem",,
Tech,I like to create things that improve lives,UX/UI,"You are a highly pragmatic and logical thinker who is able to view things from multiple perspectives. You like to be balanced about things and where there are solutions to problems or answers to questions, you consider both sides before making a reasoned judgement","""For me, to live is about impacting people s lives."" -- Elim Chew, Stick to your true north_ build greatness for the long term. _Ruth Porat",,
Tech,I like to make information accessible,UX/UI,"You are a highly pragmatic and logical thinker who is able to view things from multiple perspectives. You like to be balanced about things and where there are solutions to problems or answers to questions, you consider both sides before making a reasoned judgement","""The goal is to turn data into information, and information into insight."" -- Carly Florina, Your value will be not what you know; it will be what you share. _ Ginni Rometty",,
Leadership,I like to set goals and directions,CEO,"You are creative and adventurous in your approach to things. You have a heart for others and seek to improve the lives of those around you. You enjoy building things, products, services and anything that contributes to the lives of others and brings about positive change. ","""Be sure you put your feet in the right place. Then stand firm."" -- Abraham Lincoln, Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way.  -- Jack Ma",,
Leadership,I like to generate solutions to problems,Management Consultant,"You are creative and adventurous in your approach to things. You have a heart for others and seek to improve the lives of those around you. You enjoy building things, products, services and anything that contributes to the lives of others and brings about positive change. ","""In the middle of every difficulty lies opportunity"" -- Albert Einstein, Let us remember: one book, one pen, one child, and one teacher can change the world.   Malala Yousafzai",,
Leadership,I Like to think about how to deliver solutions to more people,COO,"You are creative and adventurous in your approach to things. You have a heart for others and seek to improve the lives of those around you. You enjoy building things, products, services and anything that contributes to the lives of others and brings about positive change. ","""If we are going to be part of the solution, we have to engage the problems.""   Majora Carter,""Do not limit yourself to thinking in the present. Think above and beyond. Do not be bound by this age; aim to create a new age that will delight people throughout the world."" -- Masayoshi Son",,
Leadership,I like to think about risks and opportunities of possible solutions,Economist,"You are creative and adventurous in your approach to things. You have a heart for others and seek to improve the lives of those around you. You enjoy building things, products, services and anything that contributes to the lives of others and brings about positive change. ","""I learned to make my mind large, as the universe is large, so that there is room for paradoxes"" 
--Maxine Hong Kingston, Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning.  -- Gloria Steinem",,
Leadership,I like to create things that improve lives,Social Entrepreneur,"You are creative and adventurous in your approach to things. You have a heart for others and seek to improve the lives of those around you. You enjoy building things, products, services and anything that contributes to the lives of others and brings about positive change. ","""For me, to live is about impacting people s lives."" -- Elim Chew, Stick to your true north_ build greatness for the long term. _Ruth Porat",,
Leadership,I like to make information accessible,Motivational Speaker/Coach,"You are creative and adventurous in your approach to things. You have a heart for others and seek to improve the lives of those around you. You enjoy building things, products, services and anything that contributes to the lives of others and brings about positive change. ","""The goal is to turn data into information, and information into insight."" -- Carly Florina, Your value will be not what you know; it will be what you share. _ Ginni Rometty",,
